id	title	startTime	endTime	url	tags	address	name	latitude	longitude
1138	Familie en vrienden WK-cantus	2022-11-25T19:00:00Z	2022-11-25T22:59:00Z	https://www.facebook.com/events/1145908532702765?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Cantus		De Waaiberg	50.869912998650605	4.695553229746996
1139	VTK op Hoogtestage // Skireis naar Sestrière [VOLZET]	2023-02-03T20:00:00Z	2023-02-11T20:00:00Z	https://www.facebook.com/events/1104703203487889/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D					
1140	VTK Bureau 5	2022-11-23T11:30:00Z	2022-11-23T13:00:00Z	https://www.facebook.com/events/1180730719201539/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Education		QDV 00.100		
1141	PeMe-bowling	2022-11-28T18:00:00Z	2022-11-28T21:00:00Z	https://www.facebook.com/events/881956283173846/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	First-year students		Bowling Leuven, Naamsestraat 89		
1142	Opstartvergadering: Kiesploeg Alpha	2022-11-22T17:30:00Z	2022-11-22T19:30:00Z				200K 00.06	50.86391369394682	4.679486797747789
1143	IFR Voorronde 1	2022-11-21T19:00:00Z	2022-11-21T22:00:00Z	https://www.facebook.com/events/831068547937662/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Culture		Baarr		
1144	Shakshuka	2022-11-23T11:30:00Z	2022-11-23T13:30:00Z	https://on.vtk.be/shakshuka	Culinary		TTI	50.86111352846444	4.683563755450426
1148	Historia | Quiz	2022-11-23T19:00:00Z	2022-11-23T21:00:00Z	https://www.facebook.com/events/531567042175752	Quiz	Erasmusplein 2	MSI 03.18	50.877803684765745	4.708095239100634
1149	Collectieve Blok	2022-12-26T11:30:00Z	2022-12-31T11:00:00Z	https://www.comac-studenten.be/collectieve-blok	Education, Career, First-year students	Martelarenplein, 3000 Leuven	Huize Radeske	50.88134068865148	4.715385483203112
1150	'Get Oud' Kerstkaartjes Schrijfactie 	2022-11-28T09:00:00Z	2022-11-28T11:00:00Z	https://fb.me/e/2r9FPBTkt					
1151	Cara Cantus	2022-11-21T19:00:00Z	2022-11-21T22:30:00Z	https://fb.me/e/23jN46ONs					
1152	Kaas- & Wijnavond	2022-11-22T18:00:00Z	2022-11-22T22:00:00Z	https://fb.me/e/2dulsS72R					
1153	BLOEDROCK - Bloedserieus	2022-11-21T21:00:00Z	2022-11-22T03:00:00Z	https://fb.me/e/5fdJ9IWZE	Charity, Party	Brusselsestraat 246, Leuven 	Doc's Bar		
